Match Number,Round Number,Date,Location,Home Team,Away Team,Group,Result,Match ID
1,1,20/11/2022 16:00,Al Bayt Stadium,Qatar,Ecuador,Group A,,10449818
3,1,21/11/2022 13:00,Khalifa International Stadium,England,Iran,Group B,,18493994
2,1,21/11/2022 16:00,Al Thumama Stadium,Senegal,Netherlands,Group A,,18493993
4,1,21/11/2022 19:00,Ahmad Bin Ali Stadium,USA,Wales,Group B,,18493993
8,1,22/11/2022 10:00,Lusail Stadium,Argentina,Saudi Arabia,Group C,,1570090
6,1,22/11/2022 13:00,Education City Stadium,Denmark,Tunisia,Group D,,18493999
7,1,22/11/2022 16:00,Stadium 974,Mexico,Poland,Group C,,7556079
5,1,22/11/2022 19:00,Al Janoub Stadium,France,Australia,Group D,,1569956
12,1,23/11/2022 10:00,Al Bayt Stadium,Morocco,Croatia,Group F,,18494003
11,1,23/11/2022 13:00,Khalifa International Stadium,Germany,Japan,Group E,,1028453
10,1,23/11/2022 16:00,Al Thumama Stadium,Spain,Costa Rica,Group E,,7376697
9,1,23/11/2022 19:00,Ahmad Bin Ali Stadium,Belgium,Canada,Group F,,18494002
13,1,24/11/2022 10:00,Al Janoub Stadium,Switzerland,Cameroon,Group G,,18494005
14,1,24/11/2022 13:00,Education City Stadium,Uruguay,Korea Republic,Group H,,10460884
15,1,24/11/2022 16:00,Stadium 974,Portugal,Ghana,Group H,,18494006
16,1,24/11/2022 19:00,Lusail Stadium,Brazil,Serbia,Group G,,1570494
17,2,25/11/2022 10:00,Ahmad Bin Ali Stadium,Wales,Iran,Group B,,18494062
18,2,25/11/2022 13:00,Al Thumama Stadium,Qatar,Senegal,Group A,,18494098
19,2,25/11/2022 16:00,Khalifa International Stadium,Netherlands,Ecuador,Group A,,1570355
20,2,25/11/2022 19:00,Al Bayt Stadium,England,USA,Group B,,1570475
21,2,26/11/2022 10:00,Al Janoub Stadium,Tunisia,Australia,Group D,,18494070
22,2,26/11/2022 13:00,Education City Stadium,Poland,Saudi Arabia,Group C,,662399
23,2,26/11/2022 16:00,Stadium 974,France,Denmark,Group D,,18455223
24,2,26/11/2022 19:00,Lusail Stadium,Argentina,Mexico,Group C,,11898227
25,2,27/11/2022 10:00,Ahmad Bin Ali Stadium,Japan,Costa Rica,Group E,,11898227
26,2,27/11/2022 13:00,Al Thumama Stadium,Belgium,Morocco,Group F,,663293
27,2,27/11/2022 16:00,Khalifa International Stadium,Croatia,Canada,Group F,,18494078
28,2,27/11/2022 19:00,Al Bayt Stadium,Spain,Germany,Group E,,12027187
29,2,28/11/2022 10:00,Al Janoub Stadium,Cameroon,Serbia,Group G,,668662
30,2,28/11/2022 13:00,Education City Stadium,Korea Republic,Ghana,Group H,,1570525
31,2,28/11/2022 16:00,Stadium 974,Brazil,Switzerland,Group G,,1569892
32,2,28/11/2022 19:00,Lusail Stadium,Portugal,Uruguay,Group H,,18494085
35,3,29/11/2022 15:00,Khalifa International Stadium,Ecuador,Senegal,Group A,,18494101
36,3,29/11/2022 15:00,Al Bayt Stadium,Netherlands,Qatar,Group A,,18494100
33,3,29/11/2022 19:00,Ahmad Bin Ali Stadium,Wales,England,Group B,,17133210
34,3,29/11/2022 19:00,Al Thumama Stadium,Iran,USA,Group B,,18493994
37,3,30/11/2022 15:00,Al Janoub Stadium,Australia,Denmark,Group D,,1569988
38,3,30/11/2022 15:00,Education City Stadium,Tunisia,France,Group D,,667647
39,3,30/11/2022 19:00,Stadium 974,Poland,Argentina,Group C,,665732
40,3,30/11/2022 19:00,Lusail Stadium,Saudi Arabia,Mexico,Group C,,18494068
41,3,01/12/2022 15:00,Ahmad Bin Ali Stadium,Croatia,Belgium,Group F,,17705775
42,3,01/12/2022 15:00,Al Thumama Stadium,Canada,Morocco,Group F,,1570767
43,3,01/12/2022 19:00,Khalifa International Stadium,Japan,Spain,Group E,,1570767
44,3,01/12/2022 19:00,Al Bayt Stadium,Costa Rica,Germany,Group E,,18494076
45,3,02/12/2022 15:00,Al Janoub Stadium,Ghana,Uruguay,Group H,,18494088
46,3,02/12/2022 15:00,Education City Stadium,Korea Republic,Portugal,Group H,,18494087
47,3,02/12/2022 19:00,Stadium 974,Serbia,Switzerland,Group G,,18494084
48,3,02/12/2022 19:00,Lusail Stadium,Cameroon,Brazil,Group G,,11052412
49,Round of 16,03/12/2022 15:00,TBA,1A,2B,,,
50,Round of 16,03/12/2022 19:00,TBA,1C,2D,,,
52,Round of 16,04/12/2022 15:00,TBA,1D,2C,,,
51,Round of 16,04/12/2022 19:00,TBA,1B,2A,,,
53,Round of 16,05/12/2022 15:00,TBA,1E,2F,,,
54,Round of 16,05/12/2022 19:00,TBA,1G,2H,,,
55,Round of 16,06/12/2022 15:00,TBA,1F,2E,,,
56,Round of 16,06/12/2022 19:00,TBA,1H,2G,,,
58,Quarter Finals,09/12/2022 15:00,TBA,To be announced,To be announced,,,
57,Quarter Finals,09/12/2022 19:00,TBA,To be announced,To be announced,,,
60,Quarter Finals,10/12/2022 15:00,TBA,To be announced,To be announced,,,
59,Quarter Finals,10/12/2022 19:00,TBA,To be announced,To be announced,,,
61,Semi Finals,13/12/2022 19:00,TBA,To be announced,To be announced,,,
62,Semi Finals,14/12/2022 19:00,TBA,To be announced,To be announced,,,
63,Finals,17/12/2022 15:00,TBA,To be announced,To be announced,,,
64,Finals,18/12/2022 15:00,TBA,To be announced,To be announced,,,
